STUDID,Sexe,Cycle,Grade,Programme,Premier_Trim,Dernier_Trim,Nb_trim_complete,Moyenne,ANNEE
10058991,M,3,Doctorat,Génie chimique,20032,20113,16,0.00,2011/12
10044022,M,3,Doctorat,Génie chimique,20073,20122,15,0.00,2011/12
10059471,M,3,Doctorat,Génie civil,20123,20183,19,0.00,2018/19
10115705,M,3,Doctorat,Génie civil,20171,20193,9,0.00,2019/20
10065138,M,3,Doctorat,Génie électrique,20091,20132,14,0.00,2012/13
10076139,M,3,Doctorat,Génie électrique,20101,20142,14,0.00,2013/14
10050987,M,3,Doctorat,Génie électrique,20102,20171,21,0.00,2016/17
10086872,M,3,Doctorat,Génie électrique,20141,20171,10,0.00,2016/17
10076658,M,3,Doctorat,Génie électrique,20142,20192,16,0.00,2018/19
10093374,M,3,Doctorat,Génie électrique,20143,20182,12,0.00,2017/18
10075980,M,3,Doctorat,Génie mécanique,20092,20143,17,0.00,2014/15
10062970,M,3,Doctorat,Génie mécanique,20113,20152,12,0.00,2014/15
10073086,M,3,Doctorat,Génie mécanique,20121,20163,15,0.00,2016/17
10067348,M,3,Doctorat,Génie mécanique,20122,20161,12,0.00,2015/16
10077562,M,3,Doctorat,Génie mécanique,20123,20152,9,0.00,2014/15
10087441,M,3,Doctorat,Génie mécanique,20123,20143,7,0.00,2014/15
10086153,M,3,Doctorat,Génie mécanique,20141,20172,11,0.00,2016/17
10099911,F,3,Doctorat,Génie mécanique,20142,20182,13,0.00,2017/18
10077667,M,3,Doctorat,Génie mécanique,20143,20172,9,0.00,2016/17
10116764,M,3,Doctorat,Génie mécanique,20161,20193,5,0.00,2019/20
10100891,F,3,Doctorat,Génie minéral,20153,20173,9,0.00,2017/18
10091508,F,3,Doctorat,Génie nucléaire,20131,20183,18,0.00,2018/19
10059752,F,3,Doctorat,Génie nucléaire,20143,20193,16,0.00,2019/20
10061101,M,3,Doctorat,Génie physique,20103,20172,21,0.00,2016/17
10090095,F,3,Doctorat,Mathématiques,20121,20151,10,0.00,2014/15
10115163,F,3,Doctorat,Mathématiques,20181,20193,5,0.00,2019/20
10110338,M,1,Certificat,Technologies biomédicales - instr. électronique,20143,20152,3,1.75,2014/15
10087239,M,1,Bac,Génie informatique,20103,20161,13,1.76,2015/16
10117253,F,1,Certificat,Cyberenquête,20173,20193,5,1.77,2019/20
10081331,M,1,Certificat,Technologies biomédicales - instr. électronique,20133,20161,6,1.77,2015/16
10106838,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20141,20161,5,1.79,2015/16
10127938,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20181,20192,5,1.80,2018/19
10123497,M,1,Certificat,Mécanique du bâtiment,20173,20183,3,1.82,2018/19
10090980,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20111,20113,3,1.82,2011/12
10088860,M,1,Certificat,Mécanique du bâtiment,20112,20161,10,1.83,2015/16
10103654,M,1,Bac,Génie civil,20133,20183,9,1.84,2018/19
10101036,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20131,20141,4,1.84,2013/14
10107916,M,1,Certificat,Mécanique du bâtiment,20163,20183,5,1.85,2018/19
